Rank,Model,Accuracy,Std
1,LDA (with storage),0.6944444444444444,0.10015420209622192
2,Random Forest+LDA (with storage),0.6944444444444444,0.10015420209622192
3,KNN+LDA (with storage),0.6944444444444444,0.10015420209622192
4,Neural Network+LDA (with storage),0.6944444444444444,0.10015420209622192
5,Logistic Regression+LDA (with storage),0.6944444444444444,0.10015420209622192
6,LDA (without storage),0.6611111111111111,0.1436946350708618
7,Random Forest+LDA (without storage),0.6611111111111111,0.1436946350708618
8,KNN+LDA (without storage),0.6611111111111111,0.1436946350708618
9,Neural Network+LDA (without storage),0.6611111111111111,0.1436946350708618
10,Logistic Regression+LDA (without storage),0.6611111111111111,0.1436946350708618
11,SVM+LDA (with storage),0.6333333333333334,0.12222222222222223
12,SVM+LDA (without storage),0.5944444444444444,0.1292189261068112
